,Date,Name,Symbol,Share,Weight,WK Change
0,2021-10-23,Apple Inc.,AAPL,"162,716,620",5.97,27.23
1,2021-10-23,Microsoft Corpo..,MSFT,"78,125,940",5.68,43.93
2,2021-10-23,Amazon.com Inc.,AMZN,"4,446,926",4.09,4.73
3,2021-10-23,Facebook Inc. C..,FB,"24,854,552",2.31,16.46
4,2021-10-23,Alphabet Inc. C..,GOOGL,"3,119,565",2.05,73.48
5,2021-10-23,Alphabet Inc. C..,GOOG,"2,953,814",1.99,74.01
6,2021-10-23,Berkshire Hatha..,BRK.B,"19,660,780",1.44,37.62
7,2021-10-23,Tesla Inc,TSLA,"7,994,185",1.42,115.24
8,2021-10-23,NVIDIA Corporat..,NVDA,"6,462,430",1.39,68.03
9,2021-10-23,JPMorgan Chase ..,JPM,"31,400,878",1.28,72.87
10,2021-10-23,Johnson & Johns..,JNJ,"27,316,666",1.21,13.75
11,2021-10-23,Visa Inc. Class..,V,"17,563,342",1.10,16.53
12,2021-10-23,UnitedHealth Gr..,UNH,"9,788,968",1.05,39.15
13,2021-10-23,Home Depot Inc.,HD,"11,029,229",0.93,28.64
14,2021-10-23,PayPal Holdings..,PYPL,"12,185,517",0.93,12.83
15,2021-10-23,Procter & Gambl..,PG,"25,395,964",0.90,-1.69
16,2021-10-23,Mastercard Inco..,MA,"9,078,971",0.89,7.57
17,2021-10-23,Walt Disney Com..,DIS,"18,847,470",0.87,33.79
18,2021-10-23,Bank of America..,BAC,"78,223,510",0.84,97.80
19,2021-10-23,Adobe Inc.,ADBE,"4,963,551",0.77,29.76
20,2021-10-23,Comcast Corpora..,CMCSA,"47,559,010",0.73,21.79
21,2021-10-23,Exxon Mobil Cor..,XOM,"43,914,860",0.73,90.35
22,2021-10-23,Netflix Inc.,NFLX,"4,599,392",0.64,35.93
23,2021-10-23,Verizon Communi..,VZ,"42,945,250",0.64,-6.73
24,2021-10-23,salesforce.com ..,CRM,"9,605,655",0.62,15.08
25,2021-10-23,Intel Corporati..,INTC,"41,886,544",0.62,-7.55
26,2021-10-23,Cisco Systems I..,CSCO,"43,717,330",0.61,41.09
27,2021-10-23,Pfizer Inc.,PFE,"58,065,404",0.60,16.40
28,2021-10-23,Coca-Cola Compa..,KO,"40,252,936",0.57,8.92
29,2021-10-23,Abbott Laborato..,ABT,"18,431,132",0.57,19.63
