,Date,Name,Symbol,Share,Weight,WK Change
0,2021-10-23,Tencent Holding..,700,"11,185,704",1.26,NA
1,2021-10-23,Nestle SA,NESN,"5,275,721",1.20,NA
2,2021-10-23,ASML Holding NV,ASML,"740,202",1.05,109.13
3,2021-10-23,Taiwan Semicond..,2330,"25,316,873",0.99,NA
4,2021-10-23,Alibaba Group H..,9988,"26,589,840",0.93,NA
5,2021-10-23,Roche Holding A..,ROG,"1,307,996",0.90,74.22
6,2021-10-23,Taiwan Semicond..,TSM,"3,857,753",0.81,30.34
7,2021-10-23,Toyota Motor Co..,7203,"23,041,535",0.78,NA
8,2021-10-23,AstraZeneca plc,AZN,"2,897,500",0.66,19.82
9,2021-10-23,LVMH Moet Henne..,MC,"466,601",0.63,87.40
10,2021-10-23,Novartis AG,NOVN,"3,969,598",0.62,40.72
11,2021-10-23,Samsung Electro..,5930,"4,604,148",0.54,NA
12,2021-10-23,Novo Nordisk A/..,NOVO,"2,970,001",0.54,NA
13,2021-10-23,SAP SE,SAP,"2,084,634",0.53,-4.44
14,2021-10-23,Shopify Inc.,SHOP,"206,117",0.53,39.51
15,2021-10-23,Samsung Electro..,SMSN,"173,398",0.51,NA
16,2021-10-23,Royal Bank of C..,RY,"2,666,605",0.50,46.46
17,2021-10-23,SLCMT1142,N/A,NA,0.49,NA
18,2021-10-23,Sony Group Corp..,6758,"2,316,984",0.49,NA
19,2021-10-23,AIA Group Ltd.,1299,"22,626,211",0.49,NA
20,2021-10-23,Commonwealth Ba..,CBA,"3,322,134",0.47,0.00
21,2021-10-23,Meituan,3690,"7,268,518",0.44,NA
22,2021-10-23,Siemens AG,SIE,"1,406,147",0.43,NA
23,2021-10-23,Toronto-Dominio..,TD,"3,401,478",0.43,60.13
24,2021-10-23,TotalEnergies S..,TTE,"4,538,372",0.41,56.36
25,2021-10-23,Diageo plc,DGE,"4,297,595",0.39,NA
26,2021-10-23,Keyence Corp.,6861,"336,774",0.38,NA
27,2021-10-23,HSBC Holdings p..,HSBA,"38,242,531",0.38,NA
28,2021-10-23,Sanofi,SAN,"2,036,569",0.37,105.91
29,2021-10-23,MKTLIQ,N/A,NA,0.37,NA
30,2021-10-23,CSL Ltd.,CSL,"850,790",0.34,83.39
31,2021-10-23,Allianz SE,ALV,"769,039",0.33,11.84
32,2021-10-23,GlaxoSmithKline..,GSK,"9,264,621",0.33,12.50
33,2021-10-23,Royal Dutch She..,RDSA,"7,532,453",0.32,NA
34,2021-10-23,BP plc,BP.,"37,255,216",0.32,NA
35,2021-10-23,Schneider Elect..,SU,"990,355",0.31,98.61
36,2021-10-23,Royal Dutch She..,RDSB,"7,085,110",0.30,NA
37,2021-10-23,Adyen NV,ADYEN,"54,045",0.29,NA
38,2021-10-23,Recruit Holding..,6098,"2,499,514",0.29,NA
39,2021-10-23,Enbridge Inc.,ENB,"3,756,386",0.28,48.05
40,2021-10-23,BHP Group Ltd.,BHP,"5,513,213",0.28,10.46
41,2021-10-23,British America..,BATS,"4,269,269",0.28,0.00
42,2021-10-23,Hong Kong Excha..,388,"2,373,055",0.28,NA
43,2021-10-23,SoftBank Group ..,9984,"2,504,107",0.27,NA
44,2021-10-23,Unilever plc,UNA,"2,597,169",0.27,NA
45,2021-10-23,Daimler AG,DAI,"1,573,429",0.26,NA
46,2021-10-23,Mitsubishi UFJ ..,8306,"23,202,554",0.26,NA
47,2021-10-23,Airbus SE,AIR,"1,042,607",0.26,76.03
48,2021-10-23,Bank of Nova Sc..,BNS,"2,265,871",0.26,56.09
49,2021-10-23,Brookfield Asse..,BAM.A,"2,491,151",0.25,NA
50,2021-10-23,Prosus NV,PRX,"1,648,988",0.25,NA
51,2021-10-23,Rio Tinto plc,RIO,"2,032,816",0.25,9.40
52,2021-10-23,BASF SE,BAS,"1,713,687",0.25,NA
53,2021-10-23,BNP Paribas SA,BNP,"2,022,469",0.24,NA
54,2021-10-23,Westpac Banking..,WBC,"6,868,012",0.24,0.00
55,2021-10-23,Canadian Nation..,CNR,"1,108,409",0.24,63.94
56,2021-10-23,Shin-Etsu Chemi..,4063,"742,497",0.24,NA
57,2021-10-23,National Austra..,NAB,"6,176,583",0.23,NA
58,2021-10-23,Housing Develop..,HDFC,"3,263,551",0.23,NA
59,2021-10-23,Deutsche Teleko..,DTE,"6,046,920",0.23,-4.50
60,2021-10-23,Tokyo Electron ..,8035,"276,836",0.23,NA
61,2021-10-23,L'Oreal SA,N/A,"290,348",0.23,NA
62,2021-10-23,China Construct..,939,"170,173,517",0.23,NA
63,2021-10-23,Unilever plc,ULVR,"2,231,670",0.23,NA
64,2021-10-23,Bank of Montrea..,BMO,"1,208,972",0.23,75.59
65,2021-10-23,Glencore plc,GLEN,"24,784,256",0.22,NA
66,2021-10-23,Banco Santander..,SAN,"32,034,555",0.22,105.91
67,2021-10-23,Reliance Indust..,RELIANCE,"3,361,289",0.22,NA
68,2021-10-23,Deutsche Post A..,DPW,"1,829,226",0.22,16.24
69,2021-10-23,Iberdrola SA,IBE,"11,044,717",0.21,NA
70,2021-10-23,Zurich Insuranc..,ZURN,"277,919",0.21,NA
71,2021-10-23,adidas AG,ADS,"358,161",0.21,100.37
72,2021-10-23,Enel SPA,ENEL,"14,547,443",0.21,NA
73,2021-10-23,Lonza Group AG,LONN,"138,660",0.20,NA
74,2021-10-23,ING Groep NV,INGA,"7,287,657",0.20,NA
75,2021-10-23,EssilorLuxottic..,EL,"551,779",0.20,40.83
76,2021-10-23,Daikin Industri..,6367,"495,931",0.20,NA
77,2021-10-23,KDDI Corp.,9433,"3,135,824",0.20,NA
78,2021-10-23,ABB Ltd.,ABBN,"3,169,023",0.20,NA
79,2021-10-23,Hoya Corp.,7741,"667,409",0.20,NA
80,2021-10-23,Australia & New..,ANZ,"5,326,747",0.20,NA
81,2021-10-23,Infineon Techno..,IFX,"2,447,912",0.19,NA
82,2021-10-23,Cie Financiere ..,CFR,"954,411",0.19,92.62
83,2021-10-23,AXA SA,CS,"3,593,940",0.19,-1.13
84,2021-10-23,Bayer AG,BAYN,"1,842,193",0.19,0.00
85,2021-10-23,Hitachi Ltd.,6501,"1,729,036",0.19,NA
86,2021-10-23,Tata Consultanc..,TCS,"1,941,634",0.19,19.22
