,Date,Name,Symbol,Share,Weight,WK Change
0,2021-10-23,Exxon Mobil Cor..,XOM,"95,532,460",23.41,90.35
1,2021-10-23,Chevron Corpora..,CVX,"48,625,972",20.01,59.16
2,2021-10-23,ConocoPhillips,COP,"19,376,824",4.72,147.13
3,2021-10-23,EOG Resources I..,EOG,"13,600,581",4.53,161.96
4,2021-10-23,Schlumberger NV,SLB,"35,180,436",4.47,125.92
5,2021-10-23,Marathon Petrol..,MPC,"17,559,100",4.16,134.28
6,2021-10-23,Pioneer Natural..,PXD,"6,387,637",4.13,144.29
7,2021-10-23,Phillips 66,PSX,"12,068,371",4.12,70.14
8,2021-10-23,Kinder Morgan I..,KMI,"53,677,732",3.87,41.02
9,2021-10-23,Williams Compan..,WMB,"33,481,018",3.50,48.45
10,2021-10-23,Valero Energy C..,VLO,"11,266,184",3.41,99.78
11,2021-10-23,Occidental Petr..,OXY,"23,154,016",2.93,251.24
12,2021-10-23,ONEOK Inc.,OKE,"12,279,849",2.73,127.96
13,2021-10-23,Hess Corporatio..,HES,"7,565,626",2.59,138.34
14,2021-10-23,Halliburton Com..,HAL,"24,522,204",2.26,104.34
15,2021-10-23,Diamondback Ene..,FANG,"4,988,594",1.90,294.55
16,2021-10-23,Devon Energy Co..,DVN,"16,417,819",1.86,368.60
17,2021-10-23,Baker Hughes Co..,BKR,"20,048,798",1.83,75.50
18,2021-10-23,Marathon Oil Co..,MRO,"21,722,844",1.17,304.39
19,2021-10-23,APA Corp.,APA,"10,417,617",0.87,204.18
20,2021-10-23,Cabot Oil & Gas..,COG,"11,015,448",0.76,16.01
21,2021-10-23,NOV Inc.,NOV,"10,766,858",0.65,65.26
22,2021-10-23,STATE STREET IN..,964WKM90,"32,626,720",0.13,NA
23,2021-10-23,U.S. Dollar,CASH_USD,"1,947,026",0.01,NA
24,2021-10-23,CME E MINI ENER..,XAEU1,500,0.01,NA
