,Date,Name,Symbol,Share,Weight,WK Change
0,2021-10-23,NextEra Energy ..,NEE,"25,229,358",16.19,13.44
1,2021-10-23,Duke Energy Cor..,DUK,"9,894,174",8.50,12.18
2,2021-10-23,Southern Compan..,SO,"13,616,787",7.24,6.93
3,2021-10-23,Dominion Energy..,D,"10,374,023",6.65,-3.66
4,2021-10-23,Exelon Corporat..,EXC,"12,569,054",4.90,21.76
5,2021-10-23,American Electr..,AEP,"6,428,098",4.73,-5.33
6,2021-10-23,Sempra Energy,SRE,"4,052,674",4.72,1.45
7,2021-10-23,Xcel Energy Inc..,XEL,"6,922,787",4.00,-8.36
8,2021-10-23,Public Service ..,PEG,"6,496,807",3.37,7.26
9,2021-10-23,American Water ..,AWK,"2,334,148",3.16,15.47
10,2021-10-23,WEC Energy Grou..,WEC,"4,057,352",3.15,-9.33
11,2021-10-23,Eversource Ener..,ES,"4,417,902",3.08,-6.06
12,2021-10-23,Consolidated Ed..,ED,"4,409,531",2.76,-5.28
13,2021-10-23,PPL Corporation,PPL,"9,896,934",2.41,4.41
14,2021-10-23,DTE Energy Comp..,DTE,"2,491,854",2.41,-4.50
15,2021-10-23,Edison Internat..,EIX,"4,880,585",2.41,2.37
16,2021-10-23,Ameren Corporat..,AEE,"3,287,118",2.29,3.63
17,2021-10-23,Entergy Corpora..,ETR,"2,581,009",2.27,-2.11
18,2021-10-23,FirstEnergy Cor..,FE,"6,996,004",2.26,16.76
19,2021-10-23,AES Corporation,AES,"8,569,861",1.94,23.35
20,2021-10-23,CMS Energy Corp..,CMS,"3,723,268",1.93,-6.32
21,2021-10-23,CenterPoint Ene..,CNP,"7,466,742",1.61,23.27
22,2021-10-23,Evergy Inc.,EVRG,"2,948,980",1.57,15.66
23,2021-10-23,Alliant Energy ..,LNT,"3,217,430",1.57,3.13
24,2021-10-23,Atmos Energy Co..,ATO,"1,680,813",1.41,-1.57
25,2021-10-23,NRG Energy Inc.,NRG,"3,148,151",1.13,26.74
26,2021-10-23,NiSource Inc,NI,"5,054,044",1.08,6.23
27,2021-10-23,Pinnacle West C..,PNW,"1,453,458",1.04,-19.94
28,2021-10-23,STATE STREET IN..,964WKM90,"23,123,414",0.20,NA
29,2021-10-23,U.S. Dollar,CASH_USD,"2,084,968",0.02,NA
30,2021-10-23,DT Midstream In..,DTM,"30,000",0.01,"4,968.00"
